1;Facultad de Ciencias Exactas, Físicas y Naturales;Av. Ignacio De La Roza 590(O);Rivadavia;2644260353
1;1;Licenciatura en Ciencias de la Computación;Licenciado en Cs. de la Computación;Diez semestres;Grado
1;2;Licenciatura en Sistemas de Información;Licenciado en Sistemas de Información;Diez semestres;Grado
1;3;Tecnicatura en Programación Web;Técnico Universitario en Programación Web;Seis semestres;Pregrado
1;4;Tecnicatura Universitaria en Exploración Geológica;Técnico Universitario en Exploración Geológica;Seis semestres;Pregrado
2;Facultad de Arquitectura, Urbanismo y Diseño;Av. Ignacio De La Roza 590(O);Rivadavia;2644232395
2;1;Diseño Gráfico;Diseñador Gráfico;Diez semestres;Grado
2;2;Diseño Industrial;Diseñador Industrial;Diez semestres;Grado
2;3;Arquitectura y Urbanismo;Arquitecto;Doce semestres;Grado
3;Facultad de Ciencias Sociales;Av. Ignacio De La Roza 590(O);Rivadavia;2644230314
3;1;Licenciatura en Sociología;Licenciado en Sociología;Diez semestres;Grado
3;2;Profesorado en Sociología;Profesor de Sociología;Diez semestres;Grado
3;3;Licenciatura en Comunicación Social;Licenciado en Comunicación Social;Nueve semestres;Grado
